Station Name,POI Name,Category,Latitude,Longitude
Station 1,Rib No. 7,BBQ Joint,40.748329,-73.986845
Station 1,Yoon Haeundae Galbi,BBQ Joint,40.749849,-73.984502
Station 1,Tonchin New York,Bar,40.750335,-73.984477
Station 1,BCD Tofu House,Korean Restaurant,40.747437,-73.98582
Station 1,The Parlour Room,Cocktail Bar,40.750667,-73.986194
Station 1,Don's Bogam BBQ & Wine Bar,Wine Bar,40.746886,-73.984342
Station 1,Taco Bell,Fast Food Restaurant,40.75087,-73.986639
Station 1,Ravagh Persian Grill,Persian Restaurant,40.74719,-73.983087
Station 1,Fields Good Chicken,American Restaurant,40.746457,-73.984238
Station 1,Chili,Cocktail Bar,40.75008,-73.981934
Station 2,Le Bernardin,French Restaurant,40.76163,-73.981861
Station 2,The Capital Grille,American Restaurant,40.760681,-73.981038
Station 2,Mastro`S Restaurants,Steakhouse,40.761179,-73.980577
Station 2,La Grande Boucherie,French Restaurant,40.762681,-73.980898
Station 2,Avra Rockefeller Center,Greek Restaurant,40.760882,-73.98157
Station 2,Toasties,American Restaurant,40.759977,-73.983107
Station 2,ICHIRAN - Times Square,Ramen Restaurant,40.76008,-73.983286
Station 2,Oceana,New American Restaurant,40.75973,-73.982268
Station 2,Gallagher's Steak House,American Restaurant,40.762761,-73.983915
Station 2,Del Frisco's Double Eagle Steakhouse,Steakhouse,40.759462,-73.982214
Station 3,Burger Joint,Burger Joint,40.764204,-73.978467
Station 3,Kin Ramen,Ramen Restaurant,40.764515,-73.978916
Station 3,Souvlaki GR,Fast Food Restaurant,40.764585,-73.980317
Station 3,Quality Italian,Italian Restaurant,40.764411,-73.976771
Station 3,Quality Bistro,American Restaurant,40.762999,-73.979119
Station 3,Jams,Fast Food Restaurant,40.764742,-73.976522
Station 3,Pret A Manger,Fast Food Restaurant,40.765602,-73.976643
Station 3,Nobu Fifty Seven,Sushi Restaurant,40.763726,-73.976176
Station 3,NYAC Tap Room,Brazilian Restaurant,40.766621,-73.978867
Station 3,Redeye Grill,New American Restaurant,40.765228,-73.980517
